2018-07-17 15:56:19 INFO  MIP_BrowserFactory:31 - Opening the browser
2018-07-17 15:57:27 INFO  MIP_BrowserFactory:45 - firefox opened 
2018-07-17 15:57:31 INFO  MIP_ReadPropertyFile:18 - Reading the property file
2018-07-17 15:57:31 INFO  MIP_DataBaseConnection:20 - Connecting to Database
2018-07-17 15:57:33 INFO  MIP_DataBaseConnection:35 - Connecting to Database is successfull
2018-07-17 15:57:33 INFO  MIP_LaunchApplication:16 - Launching the application
2018-07-17 15:57:36 INFO  MIP_LaunchApplication:21 - Application Launched successfuly
2018-07-17 15:57:36 INFO  MIP_LoginPage:39 - Entering the userName
2018-07-17 15:57:36 INFO  MIP_LoginPage:41 - Entering the password
2018-07-17 15:57:38 INFO  MIP_LoginPage:44 - Clicked on Submit button
2018-07-17 15:57:40 INFO  MIP_HomePage:73 - Clicking on Menu Customer Management
2018-07-17 15:57:40 INFO  MIP_HomePage:79 - Clicked on Menu Customer Management
2018-07-17 15:57:40 INFO  MIP_HomePage:73 - Clicking on Menu Register Customer
2018-07-17 15:57:40 INFO  MIP_HomePage:79 - Clicked on Menu Register Customer
2018-07-17 15:57:40 INFO  MIP_XLOperation:24 - Reading the XL data
2018-07-17 15:57:43 INFO  MIP_CustomerManagementPage:50 - Entering msisdn value 03000900009
2018-07-17 15:57:43 INFO  MIP_CustomerManagementPage:61 - Entered msisdn value
2018-07-17 15:57:43 INFO  MIP_CustomerManagementPage:65 - clicking on search Icon
2018-07-17 15:57:48 INFO  MIP_CustomerManagementPage:67 - Clicked on Search Icon
2018-07-17 15:57:51 INFO  MIP_CustomerManagementPage:77 - Selecting  offer Hospitalization
2018-07-17 15:57:51 INFO  MIP_CustomerManagementPage:90 - Selected the offer Hospitalization
2018-07-17 15:57:51 INFO  MIP_RegisterCustomerPage:205 - Getting the customer information from Register Customer Page
2018-07-17 15:57:52 INFO  MIP_RegisterCustomerPage:227 - Getting the Accident protection Beneficiary information from Register Customer Page
2018-07-17 15:57:53 INFO  MIP_RegisterCustomerPage:64 - Selecting Bima Hospitalization Benefit Level as PKR 200,000
2018-07-17 15:57:54 INFO  MIP_RegisterCustomerPage:68 - Selected Bima Life Hospitalization Level as PKR 200,000
2018-07-17 15:57:54 INFO  MIP_RegisterCustomerPage:114 - Entering the customer Beneficiary information for Hospitalization:relationship=Other,fname=Mohamed,sname=usaf,age=39,ben_gender=Female,ben_msisdn=03000966542
2018-07-17 15:57:55 INFO  MIP_RegisterCustomerPage:137 - Entered the customer Beneficiary information for Hospitalization
2018-07-17 15:57:55 INFO  MIP_RegisterCustomerPage:293 - Getting the Coaching Program information status Register Customer Page
2018-07-17 15:57:55 INFO  MIP_CustomerManagementPage:116 - Clicking on Save button in Customer Registration page
2018-07-17 15:58:04 INFO  MIP_RegisterCustomer_Queries:32 - Executing getCustomerDetails query
2018-07-17 15:58:10 INFO  MIP_CustRegistration_Test:793 - Expected and found ben_fname:DB ben_fname=Mohamed and ben_fname=Mohamed
2018-07-17 15:58:10 INFO  MIP_CustRegistration_Test:799 - Expected and found ben_sname:DB ben_sname=usaf and Input ben_sname=usaf
2018-07-17 15:58:10 INFO  MIP_CustRegistration_Test:805 - Expected and found ben_age:DB ben_age=39 and Input ben_age=39
2018-07-17 15:58:10 INFO  MIP_CustRegistration_Test:811 - Expected and found cust_relationship:DB cust_relationship=Other and Input cust_relationship=Other
2018-07-17 15:58:10 INFO  MIP_CustRegistration_Test:820 - Expected and found ben_gender:DB ben_gender =Female and Input ben_gender=Female
